ctree,svg,scope,comments,structure,header depth,subdata,splitrows,problems
10.1111_bph.13654,table2.svg,,SUBBOX,,,,,
10.1111_ejn.13382,table1.svg,,,,,,,
10.1111_ejn.13418,table1.svg,out,,,,,,
10.1111_ejn.13418,table2.svg,,,,,,,
10.1111_nyas.13192,table1.svg,,BARRED?,,,,,
10.1111_nyas.13192,table2.svg,out,,,,,,
10.1111_nyas.13192,table2cont.svg,out,,,,,,
10.1111_nyas.13294,table1.svg,,BARRED,,,,,
10.1111_nyas.13294,table2.svg,,,,,,,
10.1111_nyas.13294,table3.svg,,BARRED,,,,,
10.1136_bmjopen-2016-011048,table1.svg,,,,,,,
10.1136_bmjopen-2016-011048,table2.svg,,,,,,,
10.1136_bmjopen-2016-011048,table3.svg,,,,,,,
10.1136_bmjopen-2016-011048,table4.svg,,,,,,,
10.1136_bmjopen-2016-011048,table5.svg,,,,,,,
10.1136_bmjopen-2016-012330,table1.svg,,,,,,,
10.1136_bmjopen-2016-012330,table2.svg,,,,,,,
10.1136_bmjopen-2016-012330,table3.svg,,,,,,,
10.1136_bmjopen-2016-012330,table4.svg,,,,,,,
10.1136_bmjopen-2016-012330,table5.svg,,,,,,,
10.1136_bmjopen-2016-013045,table1.svg,,,,,,,
10.1136_bmjopen-2016-013045,table2.svg,,,,,,,
10.1136_bmjopen-2016-013045,table3.svg,,,,,,,
10.1136_bmjopen-2016-013045,table4.svg,,,,,,,
10.1136_jech-2014-204984,table1.svg,out,,,,,,
10.1136_jech-2014-204984,table2.svg,,,,,,,
10.1136_jech-2014-204984,table3.svg,,,,,,,
10.1136_jech-2015-206665,table1.svg,,,,,,,
10.1136_jech-2015-206665,table2.svg,,,,,,,
10.1179_1743132812Y.0000000071,table1.svg,out,NOTTABLE,,,,,
10.1179_1743132812Y.0000000071,table2.svg,,,,,,,
10.1179_1743132812Y.0000000071,table3.svg,,,,,,,
10.1179_1743132812Y.0000000071,table4.svg,,,,,,,
10.1179_1743132812Y.0000000071,table5.svg,,,,,,,
10.1179_1743132815Y.0000000036,table1.svg,,,,,,,
10.1179_1743132815Y.0000000036,table2.svg,,???,,,,,
10.1179_1743132815Y.0000000036,table3.svg,,,,,,,
10.1179_1743132815Y.0000000036,table4.svg,,,,,,,
10.1179_1743132815Y.0000000036,table5.svg,,,,,,,
10.1179_1743132815Y.0000000036,table6.svg,,,,,,,
10.1179_1743132815Y.0000000050,table1.svg,,,,,,,
10.1179_1743132815Y.0000000050,table2.svg,,,,,,,
10.1179_1743132815Y.0000000050,table3.svg,,,,,,,
10.1179_1743132815Y.0000000050,table4.svg,,,,,,,
10.1179_1743132815Y.0000000050,table5.svg,,,,,,,
10.1186_1471-2431-13-190,table1.svg,,,,,,,
10.1186_1471-2458-12-740,table1.svg,,,,,,,
10.1186_1471-2458-9-122,table1.svg,,BODYRULERS,,,,,
10.1186_1471-2458-9-122,table2.svg,,BODYRULERS,,,,,
10.1186_1471-2458-9-122,table3.svg,,BODYRULERS,,,,,
10.1186_1741-7015-11-207,table1.svg,,,,,,,
10.1186_1741-7015-11-207,table2.svg,,,,,,,
10.1186_1741-7015-11-207,table3.svg,,,,,,,
10.1186_s12916-014-0161-y,table1.svg,,,,,,,
10.1186_s12916-014-0161-y,table2.svg,,MISSINGRULER,,,,,
10.1186_s12916-014-0161-y,table2cont.svg,,MISSINGRULER,,,,,
10.1186_s12916-014-0161-y,table3.svg,,MISSINGRULER,,,,,
10.1186_s12916-014-0161-y,table3cont.svg,,MISSINGRULER,,,,,
10.1186_s12916-014-0161-y,table4.svg,,MISSINGRULER,,,,,
10.1186_s12916-014-0161-y,table4cont.svg,,MISSINGRULER,,,,,
10.1186_s12916-014-0161-y,table5.svg,,,,,,,
10.1186_s12916-014-0161-y,table6.svg,,,,,,,
10.1186_s12916-014-0161-y,table7.svg,,,,,,,
10.1186_s12974-016-0542-6,table1.svg,,,,,,,
10.1371_journal.pbio.1000481,table1.svg,,,,,,,
10.1371_journal.pbio.1001952,table1.svg,,EXTRABAR,,,,,
10.1371_journal.pbio.1001952,table2.svg,,,,,,,
10.1371_journal.pone.0148292,table1.svg,,BOTTOMDOIBAR,,,,,
10.1371_journal.pone.0148292,table2.svg,,BOTTOMDOIBAR,,,,,
10.1371_journal.pone.0155834,table1.svg,,BOTTOMDOIBAR,,,,,
10.1371_journal.pone.0155834,table2.svg,,,,,,,
10.1371_journal.pone.0155834,table3.svg,,??,,,,,
10.1371_journal.pone.0169976,table1.svg,out,BODYRULERS,,,,,
10.1371_journal.pone.0169976,table2.svg,,BODYRULERS,,,,,
10.1371_journal.pone.0169976,table3.svg,,BODYRULERS,,,,,
10.1371_journal.pone.0169976,table4.svg,,BODYRULERS,,,,,
10.1371_journal.pone.0169976,table4cont.svg,,BODYRULERS,,,,,
10.3109_00207454.2013.803104,table1.svg,,BODYRULERS,,,,,
10.3109_00207454.2013.803104,table2.svg,,BODYRULERS,,,,,
10.3109_00207454.2013.803104,table3.svg,,,,,,,
10.3109_00207454.2013.803104,table4.svg,,BODYRULERS,,,,,
10.3109_00207454.2013.803104,table5.svg,,,,,,,
