"Parameter ","M ","SD ","M ","SD ","M ","SD ","M ","SD ","M ","SD ","M ","SD ","t ","P ","ES "
Cadence (step/min) ^{a},111.77,9.04,122.97,10.17,11.20,11.79,112.51,10.17,112.91,4.79,0.40,4.77,− 2.831,0.005^{**},1.20
Velocity (m/s),0.93,0.27,1.16,0.19,0.23,0.26,0.97,0.27,0.98,0.14,0.01,0.05,2.838,0.015^{*},1.18
Step length (m),0.50,0.11,0.56,0.08,0.06,0.11,0.52,0.08,0.52,0.08,0.01,0.07,1.621,0.119,0.54
Step time (s),0.54,0.05,0.48,0.04,− 0.06,0.07,0.52,0.06,0.55,0.05,0.03,0.07,− 3.004,0.007^{**},1.29
Step width (m),0.22,0.05,0.21,0.06,− 0.01,0.04,0.19,0.05,0.20,0.05,0.01,0.02,− 1.404,0.174,0.63
Single support (%),0.37,0.03,0.36,0.04,− 0.01,0.04,0.40,0.04,0.36,0.05,− 0.03,0.05,1.163,0.257,0.44
Double support (%),0.33,0.09,0.27,0.08,− 0.06,0.13,0.31,0.05,0.31,0.07,− 0.00,0.09,− 1.225,0.233,0.54
