file,pmr,chjh,notes_pmr,notes_chjh
table4(7).png,in,in,,boxed
table4(8).png,in,in,,boxed
table4(9).png,in,in,,"boxed, nested columns"
table4.png,in,in,,"nested columns"
table5(10).png,in,in,,
table5(11).png,in,in,,"nested columns"
table5(2).png,in,in,,"nested columns"
table5(3).png,in,in,,"nested columns, boxed"
table5(4).png,in,in,,gridded
table5(5).png,in,in,,"nested columns"
table5(6).png,in,in,,
table5(7).png,in,in,,
table5(8).png,in,in,,
table5(9).png,in,in,,"nested columns"
table5.png,in,in,,"nested columns"
table6(2).png,in,in,,"nested columns"
table6(3).png,in,in,,
table6.png,in,in,,"nested columns"
table7(2).png,in,in,,
table7.png,in,in,,"redundant nesting columns"
table8.png,in,in,,"redundant nesting columns"
table9.png,in,in,,
